paragraph,claim,has_citation,citation_if_any,note
1,Weight quantization is a central problem for efficient inference on resource-constrained hardware,no,,"General motivational claim; arguably common-knowledge framing, not a specific external fact"
1,PoT quantization is hardware-attractive because PoT weights reduce multiply-accumulate to bitshifts,yes,"miyashita_pot_2016, przewlocka_rus_pot_2022",
1,"PTQ costs 8.8-18.0 accuracy points on ImageNet100 and 1.4-10.2 points on CIFAR10, depending on architecture",no (self-result),,"This is the authors' own measured result (matches Results/Table numbers) -- no citation needed, but consider an explicit forward-pointer e.g. '(this paper, Sec. 4)'"
2,HAWQ ranks layers by the top Hessian eigenvalue,yes,dong_hawq_2019,
2,HAWQ-V2 refines this into a curvature-times-perturbation product motivated by a second-order Taylor expansion,yes,dong_hawqv2_2020,
2,Per-layer traces are estimated via Hutchinson's method as implemented in PyHessian,yes,yao_pyhessian_2020,
3,HAWQ uses this formulation to decide bit-width allocation,implicit (same source as para 2),dong_hawq_2019 / dong_hawqv2_2020 (not re-cited in this sentence),
3,The underlying predictive claim (Tr(H)*||dW||^2 tracks per-layer damage) is rarely tested directly against measured damage,NO,,"FLAG: uncited claim about the state of the literature. The Downloads-folder PDF the professors annotated (FSP_B_AXIOM_WORKSHOP_2026_TE.pdf) has DIFFERENT wording here: ""...has recently been tested in the LLM setting [Hill, 2026] but its validity under PoT for vision CNNs is untested."" 'hill_2026' is NOT in paper/reference.bib and not cited anywhere in the current paper/neurips_2026.tex (single commit 55214a0, no prior history) -- i.e. the committed .tex has silently dropped a citation that was present when the professors reviewed it. This is exactly what Prof 2's annotation on this passage (""Diese Quellen fuer alle Aussagen?"") is asking about, and directly overlaps with Prof 2's separate literature-check question (""Haben sie diese Metriken eingefuehrt? Und getestet?"", Sec 3.3 annotation) -- see Part 3.2 of the main report."
3,"PoT's non-uniform grid means perturbation size depends on weight-grid alignment, not layer size/precision, so HAWQ-V2's predictive power under PoT is untested",no (author's own reasoning/argument),,"Argument, not an external fact -- no citation needed"
4,We test three predictors ... against measured per-layer weight-quantization damage on three CNN architectures and two datasets,"no (self-result, states this paper's own design)",,
5,"Under PTQ, isolated weight-only damage matches or exceeds total joint damage in every architecture on both datasets we test",no (self-result),,
5,"Activation quantization follows a different, outlier-driven failure mode",yes,"xiao_smoothquant_2023, lin_awq_2024",
